type,id,difficulty,points,question,options,answer,explanation
MCQ,Q001,EASY,1.0,"¿Cuál de los siguientes es un lenguaje de programación orientado a objetos?",Java|HTML|CSS|SQL,0,"HTML y CSS no son lenguajes de programación; SQL es declarativo, pero Java sí es orientado a objetos."
MCQ,Q002,EASY,1.0,"¿Qué extensión de archivo se asocia con código fuente Java?",.java|.js|.jar|.class,0,"Los archivos fuente de Java usan extensión .java."
MCQ,Q003,EASY,1.0,"¿Qué palabra clave se usa para heredar una clase en Java?",extends|implements|inherit|super,0,"'extends' se usa para heredar de una clase base."
MCQ,Q004,MEDIUM,1.0,"¿Cuál de las siguientes colecciones mantiene el orden de inserción?",HashSet|LinkedHashSet|TreeSet|PriorityQueue,1,"LinkedHashSet mantiene el orden de inserción."
MCQ,Q005,HARD,2.0,"¿Qué estructuras de datos usa un Stack internamente?",Queue|Array o LinkedList|Set|Tree,1,"Un Stack suele basarse en una lista o arreglo (LIFO)."
VF,Q006,EASY,1.0,"La JVM convierte directamente el código Java en código máquina.",,F,"La JVM interpreta o compila bytecode a código máquina en tiempo de ejecución (JIT)."
VF,Q007,EASY,1.0,"Una interfaz en Java puede tener métodos con implementación (default).",,T,"Desde Java 8, las interfaces pueden tener métodos 'default'."
MCQ,Q008,MEDIUM,1.5,"¿Cuál de los siguientes es un tipo de dato inmutable en Java?",StringBuilder|StringBuffer|String|ArrayList,2,"String es inmutable; los demás son mutables."
VF,Q009,EASY,1.0,"La palabra clave 'static' en Java indica que un miembro pertenece a la instancia del objeto.",,F,"'static' indica que el miembro pertenece a la clase, no a las instancias."
MCQ,Q010,MEDIUM,1.5,"Selecciona las bases de datos NoSQL.",PostgreSQL|MongoDB|Redis|MySQL,1;2,"MongoDB y Redis son bases de datos NoSQL."
VF,Q011,EASY,1.0,"Git es un sistema de control de versiones distribuido.",,T,"Git permite tener copias locales completas del repositorio, característica de sistemas distribuidos."
MCQ,Q012,MEDIUM,1.5,"¿Qué framework pertenece al ecosistema Java para desarrollo web?",Django|Spring Boot|Express|Laravel,1,"Spring Boot es el framework Java mencionado; los demás son de otros lenguajes."
MCQ,Q013,HARD,2.0,"¿Qué patrones de diseño son creacionales?",Observer|Factory Method|Decorator|Singleton,1;3,"Factory Method y Singleton pertenecen a los patrones creacionales."
VF,Q014,EASY,1.0,"CSS es un lenguaje de programación.",,F,"CSS es un lenguaje de hojas de estilo, no de programación."
MCQ,Q015,MEDIUM,1.5,"Selecciona las herramientas de CI/CD.",GitHub Actions|Terraform|Jenkins|Docker,0;2,"GitHub Actions y Jenkins son herramientas de CI/CD."
VF,Q016,EASY,1.0,"El modelo MVC separa lógica de negocio, presentación y datos.",,T,"MVC promueve separación de responsabilidades."
MCQ,Q017,HARD,2.0,"¿Qué estructuras siguen el principio FIFO?",Stack|Queue|Deque|Set,1,"Las colas (Queue) siguen el principio First-In-First-Out."
MCQ,Q018,MEDIUM,1.5,"¿Qué tecnologías son parte del desarrollo Front-End?",Angular|Spring Boot|CSS|TypeScript,0;2;3,"Spring Boot es back-end, las demás son front-end."
MCQ,Q019,MEDIUM,1.5,"¿Qué herramientas se usan comúnmente para pruebas en Java?",JUnit|Mockito|Postman|Cypress,0;1,"JUnit y Mockito son frameworks de pruebas para Java."
VF,Q020,EASY,1.0,"Docker permite empaquetar aplicaciones con todas sus dependencias.",,T,"Docker usa contenedores para empaquetar dependencias y ejecutarlas en entornos aislados."
MCQ,Q021,HARD,2.0,"¿Cuál de los siguientes patrones pertenece al grupo estructural?",Adapter|Strategy|Observer|Command,0,"Adapter es un patrón estructural; los demás son de comportamiento."
VF,Q022,MEDIUM,1.0,"Redis puede funcionar como caché en memoria.",,T,"Redis es muy usado como sistema de caché en memoria RAM."
MCQ,Q023,EASY,1.0,"¿Cuál de los siguientes es un lenguaje de marcado?",HTML|Java|Python|C#,0,"HTML es un lenguaje de marcado para estructurar documentos."
VF,Q024,MEDIUM,1.0,"En Java, las variables locales tienen un valor predeterminado de null.",,F,"Las variables locales deben inicializarse antes de usarse; no tienen valor por defecto."
MCQ,Q025,HARD,2.0,"Selecciona servicios de AWS.",S3|EC2|Azure Blob|Lambda,0;1;3,"Azure Blob pertenece a Microsoft; los otros son de AWS."
VF,Q026,EASY,1.0,"El principio DRY busca evitar duplicación de código.",,T,"DRY = Don't Repeat Yourself."
MCQ,Q027,MEDIUM,1.5,"¿Qué comando se usa para crear un nuevo repositorio Git?",git init|git add|git push|git commit,0,"'git init' crea un repositorio local nuevo."
MCQ,Q028,HARD,2.0,"Selecciona lenguajes con tipado dinámico.",Java|TypeScript|Python|JavaScript,2;3,"Python y JavaScript son de tipado dinámico."
VF,Q029,MEDIUM,1.0,"Kubernetes se utiliza para la orquestación de contenedores.",,T,"Kubernetes automatiza despliegue, escalado y gestión de contenedores."
MCQ,Q030,EASY,1.0,"Selecciona herramientas de control de versiones.",Git|SVN|GitHub|Docker,0;1;2,"Docker no es de control de versiones; Git, SVN y GitHub sí."
VF,Q031,HARD,2.0,"El patrón Observer permite que objetos se suscriban y reciban notificaciones automáticas de cambios.",,T,"Es un patrón de comportamiento orientado a eventos."
MCQ,Q032,HARD,2.0,"¿Qué opciones representan paradigmas de programación?",Estructurada|Orientada a Objetos|Reactiva|Todas las anteriores,3,"Todas las anteriores son paradigmas de programación."
MCQ,Q033,MEDIUM,1.5,"Selecciona bases de datos relacionales.",PostgreSQL|MongoDB|MySQL|Redis,0;2,"PostgreSQL y MySQL son bases de datos relacionales."
VF,Q034,MEDIUM,1.0,"JSON es un formato binario.",,F,"JSON es un formato de texto legible, no binario."
MCQ,Q035,HARD,2.0,"¿Cuál de los siguientes patrones encapsula una solicitud como un objeto?",Command|Adapter|Bridge|Proxy,0,"Command encapsula una solicitud como un objeto."
MCQ,Q036,MEDIUM,1.5,"Selecciona entornos de ejecución de JavaScript.",Node.js|Spring Boot|Deno|V8,0;2;3,"Spring Boot no ejecuta JavaScript; Node.js, Deno y V8 sí."
VF,Q037,MEDIUM,1.0,"La API REST usa SOAP como protocolo base.",,F,"REST usa HTTP y JSON, no SOAP."
MCQ,Q038,EASY,1.0,"¿Cuál de los siguientes archivos define dependencias en proyectos Node.js?",package.json|pom.xml|build.gradle|index.js,0,"package.json define dependencias y scripts de Node.js."
MCQ,Q039,MEDIUM,1.5,"Selecciona lenguajes compilados.",Java|Python|C|Ruby,0;2,"Java y C son compilados (Java a bytecode, C a binario)."
VF,Q040,EASY,1.0,"Spring Boot simplifica la configuración de proyectos Spring.",,T,"Spring Boot elimina configuración manual mediante autoconfiguración."
MCQ,Q041,HARD,2.0,"Selecciona herramientas de IaC (Infraestructura como Código).",Terraform|Ansible|Docker|Postman,0;1,"Terraform y Ansible son herramientas de IaC."
